participant,session,view_instance,view,view_instance_id,NFD,FD,NKFD,KFD,NAFD,NAKFD,AFD,AKFD,NFC,FC,NKFC,KFC,NAKFC,AKFC,NSD,SD,NKSD,KSD,NASD,NAKSD,ASD,AKSD,NSC,SC,NKSC,KSC,NAKSC,AKSC,ASW,NASW,ARG,NARG,AED,VSW,NVSW,VRG,NVRG,VED,CA,IOU,isKeyAOI,issue,search,read,operate
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,1,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_01,HomePage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,9,0.5625,2,0.2222222222222222,2,0.0,0.0,0,0,1,0,0
P8,P8,split_data_02,BookBorrow,2,1.0,2537.099853515625,0.0,0.0,1.0,0.0,845.699951171875,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2205.709716796875,0.0,0.0,1.0,0.0,275.7137145996094,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0,0.0,2,9,0.5625,2,0.2222222222222222,2,0.05431436000000244,0.0002716956932361155,0,0,1,0,0
P8,P8,split_data_03,SeatReserve,3,1.0,181.280029296875,1.0,181.280029296875,1.0,4.2,181.280029296875,36.256005859375,1.0,1.0,1.0,1.0,4.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2857142857142857,0,0.0,4,9,0.5625,2,0.2222222222222222,2,0.0,0.0,1,0,0,1,0
P8,P8,split_data_04,FloorSelect,4,0.11531885376468944,118.030029296875,0.8846811462353106,905.480224609375,0.11531885376468944,3.2859585431597247,118.030029296875,129.35431780133928,0.5,1.0,0.5,1.0,1.857142857142857,0.14285714285714285,0.0,0.0,1.0,332.010009765625,0.0,3.714285714285714,0.0,47.430001395089285,0.0,0.0,1.0,1.0,3.714285714285714,0.14285714285714285,3,0.3,0,0.0,6,9,0.5625,2,0.2222222222222222,2,259.25316977999995,0.24925607225465238,0,0,0,1,0
P8,P8,split_data_04,FloorSelect,4,0.8846811462353106,905.480224609375,0.8846811462353106,905.480224609375,0.8846811462353106,3.2859585431597247,905.480224609375,129.35431780133928,0.5,1.0,0.5,1.0,1.857142857142857,0.14285714285714285,1.0,332.010009765625,1.0,332.010009765625,1.0,3.714285714285714,332.010009765625,47.430001395089285,1.0,1.0,1.0,1.0,3.714285714285714,0.14285714285714285,3,0.3,0,0.0,6,9,0.5625,2,0.2222222222222222,2,259.25316977999995,0.24925607225465238,1,0,0,1,0
P8,P8,split_data_05,TimeSelect,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.18994140625,1.0,365.18994140625,1.0,1.7142857142857142,365.18994140625,26.084995814732142,1.0,1.0,1.0,1.0,1.7142857142857142,0.07142857142857142,1,0.06666666666666667,0,0.0,14,9,0.5625,2,0.2222222222222222,2,0.0,0.0,1,0,0,0,1
