participant,session,view_instance,view,view_instance_id,FD,NFD,NKFD,KFD,AFD,NAFD,NAKFD,AKFD,FC,NFC,NKFC,KFC,NAKFC,AKFC,SD,NSD,NKSD,KSD,ASD,NASD,NAKSD,AKSD,SC,NSC,NKSC,KSC,NAKSC,AKSC,ASW,NASW,ARG,NARG,AED,VSW,NVSW,VRG,NVRG,VED,CA,IOU,isKeyAOI,issue,search,read,operate
P2,P2,split_data_01,HomePage,1,604.39990234375,0.6053017961088017,0.6053017961088017,604.39990234375,302.199951171875,0.5396379470485515,10.29013053384963,604.39990234375,2.0,0.4,0.4,2.0,6.8,2.0,90.4599609375,0.03219708588757141,0.03219708588757141,90.4599609375,90.4599609375,0.03219708588757141,0.547350460088714,90.4599609375,1.0,0.5,0.5,1.0,8.5,1.0,3,0.75,0,0.0,2,17,0.7083333333333334,7,0.4117647058823529,10,67.20863779999996,0.09728036471238644,1,1,1,0,0
P2,P2,split_data_01,HomePage,1,121.5,0.12168130395459836,0.6053017961088017,604.39990234375,121.5,0.21696234665871472,10.29013053384963,604.39990234375,1.0,0.2,0.4,2.0,6.8,2.0,0.0,0.0,0.03219708588757141,90.4599609375,0.0,0.0,0.547350460088714,90.4599609375,0.0,0.0,0.5,1.0,8.5,1.0,3,0.75,0,0.0,2,17,0.7083333333333334,7,0.4117647058823529,10,67.20863779999996,0.09728036471238644,0,1,1,0,0
P2,P2,split_data_01,HomePage,1,0.0,0.0,0.6053017961088017,604.39990234375,0.0,0.0,10.29013053384963,604.39990234375,0.0,0.0,0.4,2.0,6.8,2.0,2719.10986328125,0.9678029141124286,0.03219708588757141,90.4599609375,2719.10986328125,0.9678029141124286,0.547350460088714,90.4599609375,1.0,0.5,0.5,1.0,8.5,1.0,3,0.75,0,0.0,2,17,0.7083333333333334,7,0.4117647058823529,10,67.20863779999996,0.09728036471238644,0,0,1,0,0
P2,P2,split_data_01,HomePage,1,272.610107421875,0.2730168999365999,0.6053017961088017,604.39990234375,136.3050537109375,0.24339970629273378,10.29013053384963,604.39990234375,2.0,0.4,0.4,2.0,6.8,2.0,0.0,0.0,0.03219708588757141,90.4599609375,0.0,0.0,0.547350460088714,90.4599609375,0.0,0.0,0.5,1.0,8.5,1.0,3,0.75,0,0.0,2,17,0.7083333333333334,7,0.4117647058823529,10,67.20863779999996,0.09728036471238644,0,0,1,0,0
P2,P2,split_data_02,BookBorrow,2,120.47998046875,0.07098248588724583,0.4092983509444894,694.710205078125,120.47998046875,0.09521613308692418,4.0929835094448945,347.3551025390625,1.0,0.1,0.2,2.0,2.0,1.0,0.0,0.0,0.5344364183023166,1872.740234375,0.0,0.0,5.344364183023166,936.3701171875,0.0,0.0,0.6666666666666666,2.0,6.666666666666667,1.0,7,0.7777777777777778,0,0.0,5,17,0.7083333333333334,7,0.4117647058823529,10,339.30395518000006,0.4959840170587536,0,0,1,0,0
P2,P2,split_data_02,BookBorrow,2,302.080078125,0.1779747539707449,0.4092983509444894,694.710205078125,302.080078125,0.23873590292553998,4.0929835094448945,347.3551025390625,1.0,0.1,0.2,2.0,2.0,1.0,1872.740234375,0.5344364183023166,0.5344364183023166,1872.740234375,936.3701171875,0.36466273109982356,5.344364183023166,936.3701171875,2.0,0.6666666666666666,0.6666666666666666,2.0,6.666666666666667,1.0,7,0.7777777777777778,0,0.0,5,17,0.7083333333333334,7,0.4117647058823529,10,339.30395518000006,0.4959840170587536,1,0,1,0,0
P2,P2,split_data_02,BookBorrow,2,30.39990234375,0.01791053277642745,0.4092983509444894,694.710205078125,30.39990234375,0.024025245822004323,4.0929835094448945,347.3551025390625,1.0,0.1,0.2,2.0,2.0,1.0,0.0,0.0,0.5344364183023166,1872.740234375,0.0,0.0,5.344364183023166,936.3701171875,0.0,0.0,0.6666666666666666,2.0,6.666666666666667,1.0,7,0.7777777777777778,0,0.0,5,17,0.7083333333333334,7,0.4117647058823529,10,339.30395518000006,0.4959840170587536,0,0,1,0,0
P2,P2,split_data_02,BookBorrow,2,331.630126953125,0.19538458351876564,0.4092983509444894,694.710205078125,165.8150634765625,0.13104475191956313,4.0929835094448945,347.3551025390625,2.0,0.2,0.2,2.0,2.0,1.0,0.0,0.0,0.5344364183023166,1872.740234375,0.0,0.0,5.344364183023166,936.3701171875,0.0,0.0,0.6666666666666666,2.0,6.666666666666667,1.0,7,0.7777777777777778,0,0.0,5,17,0.7083333333333334,7,0.4117647058823529,10,339.30395518000006,0.4959840170587536,0,1,1,0,0
P2,P2,split_data_02,BookBorrow,2,120.83984375,0.07119450443325889,0.4092983509444894,694.710205078125,120.83984375,0.09550053544113508,4.0929835094448945,347.3551025390625,1.0,0.1,0.2,2.0,2.0,1.0,0.0,0.0,0.5344364183023166,1872.740234375,0.0,0.0,5.344364183023166,936.3701171875,0.0,0.0,0.6666666666666666,2.0,6.666666666666667,1.0,7,0.7777777777777778,0,0.0,5,17,0.7083333333333334,7,0.4117647058823529,10,339.30395518000006,0.4959840170587536,0,1,1,0,0
P2,P2,split_data_02,BookBorrow,2,392.630126953125,0.23132359697374452,0.4092983509444894,694.710205078125,392.630126953125,0.31029821117543677,4.0929835094448945,347.3551025390625,1.0,0.1,0.2,2.0,2.0,1.0,0.0,0.0,0.5344364183023166,1872.740234375,0.0,0.0,5.344364183023166,936.3701171875,0.0,0.0,0.6666666666666666,2.0,6.666666666666667,1.0,7,0.7777777777777778,0,0.0,5,17,0.7083333333333334,7,0.4117647058823529,10,339.30395518000006,0.4959840170587536,1,1,1,0,0
P2,P2,split_data_02,BookBorrow,2,399.259765625,0.23522954243981276,0.4092983509444894,694.710205078125,133.08658854166666,0.10517921962939644,4.0929835094448945,347.3551025390625,3.0,0.3,0.2,2.0,2.0,1.0,1631.400146484375,0.46556358169768336,0.5344364183023166,1872.740234375,1631.400146484375,0.6353372689001764,5.344364183023166,936.3701171875,1.0,0.3333333333333333,0.6666666666666666,2.0,6.666666666666667,1.0,7,0.7777777777777778,0,0.0,5,17,0.7083333333333334,7,0.4117647058823529,10,339.30395518000006,0.4959840170587536,0,0,1,0,0
P2,P2,split_data_03,HomePage,3,150.89013671875,0.17804140796650075,0.0,0.0,150.89013671875,0.30226680787703447,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,253.0492989599999,0.011340650016722393,0,0,1,0,0
P2,P2,split_data_03,HomePage,3,333.990234375,0.39408865859816944,0.0,0.0,166.9951171875,0.3345286981706639,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,253.0492989599999,0.011340650016722393,0,0,1,0,0
P2,P2,split_data_03,HomePage,3,362.619873046875,0.4278699334353298,0.0,0.0,181.3099365234375,0.36320449395230164,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,253.0492989599999,0.011340650016722393,0,0,1,0,0
P2,P2,split_data_04,CoreJournal,4,121.070068359375,0.09106161890750222,0.0,0.0,121.070068359375,0.10684711560856917,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.875,1,0.14285714285714285,7,17,0.7083333333333334,7,0.4117647058823529,10,69.67970518,0.0,0,1,1,0,0
P2,P2,split_data_04,CoreJournal,4,271.75,0.20439399492746332,0.0,0.0,271.75,0.2398256155306805,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,664.739990234375,1.0,0.0,0.0,664.739990234375,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0.875,1,0.14285714285714285,7,17,0.7083333333333334,7,0.4117647058823529,10,69.67970518,0.0,0,0,1,0,0
P2,P2,split_data_04,CoreJournal,4,392.85009765625,0.2954782000647839,0.0,0.0,196.425048828125,0.17334961634167084,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.875,1,0.14285714285714285,7,17,0.7083333333333334,7,0.4117647058823529,10,69.67970518,0.0,0,0,1,0,0
P2,P2,split_data_04,CoreJournal,4,362.27001953125,0.2724777057385183,0.0,0.0,362.27001953125,0.31971161148994914,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.875,1,0.14285714285714285,7,17,0.7083333333333334,7,0.4117647058823529,10,69.67970518,0.0,0,0,1,0,0
P2,P2,split_data_04,CoreJournal,4,181.599853515625,0.13658848036173224,0.0,0.0,181.599853515625,0.16026604102913036,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.875,1,0.14285714285714285,7,17,0.7083333333333334,7,0.4117647058823529,10,69.67970518,0.0,0,0,1,0,0
P2,P2,split_data_05,LibIntro,5,271.469970703125,0.2305791555751586,0.2305791555751586,271.469970703125,271.469970703125,0.25693646850969054,3.919845644777696,271.469970703125,1.0,0.16666666666666666,0.16666666666666666,1.0,2.833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,97.76577304000006,0.05053480009829366,1,1,1,0,0
P2,P2,split_data_05,LibIntro,5,211.06982421875,0.17927692595133982,0.2305791555751586,271.469970703125,211.06982421875,0.19976992336671182,3.919845644777696,271.469970703125,1.0,0.16666666666666666,0.16666666666666666,1.0,2.833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,97.76577304000006,0.05053480009829366,0,1,1,0,0
P2,P2,split_data_05,LibIntro,5,241.550048828125,0.2051659936591515,0.2305791555751586,271.469970703125,120.7750244140625,0.11430917451660395,3.919845644777696,271.469970703125,2.0,0.3333333333333333,0.16666666666666666,1.0,2.833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,97.76577304000006,0.05053480009829366,0,0,1,0,0
P2,P2,split_data_05,LibIntro,5,121.429931640625,0.1031392570851382,0.2305791555751586,271.469970703125,121.429931640625,0.11492902042279614,3.919845644777696,271.469970703125,1.0,0.16666666666666666,0.16666666666666666,1.0,2.833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,97.76577304000006,0.05053480009829366,0,0,1,0,0
P2,P2,split_data_05,LibIntro,5,331.81982421875,0.2818386677292119,0.2305791555751586,271.469970703125,331.81982421875,0.3140554131841975,3.919845644777696,271.469970703125,1.0,0.16666666666666666,0.16666666666666666,1.0,2.833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,0,0.0,4,17,0.7083333333333334,7,0.4117647058823529,10,97.76577304000006,0.05053480009829366,0,0,1,0,0
