time,x,y
1732701999881.16,982.93,627.56
1732701999911.67,1086.06,590.85
1732701999941.78,1130.87,575.91
1732701999972.34,1153.64,567.63
1732702000001.78,1163.33,563.37
1732702000032.2,1162.35,561.76
1732702000062.37,1162.91,558.0
1732702000093.54,1161.71,555.09
1732702000123.14,1164.24,554.53
1732702000153.57,1167.35,558.25
1732702000184.07,1168.33,561.1
1732702000214.55,1165.18,564.8
1732702000243.67,1157.56,574.88
1732702000274.87,1144.83,596.21
1732702000304.45,1131.0,621.37
1732702000335.49,1117.06,644.21
1732702000365.43,1103.61,661.86
1732702000395.4,1092.05,683.0
1732702000422.89,1019.5,783.62
1732702000543.32,909.72,958.67
1732702000574.29,980.69,936.7
1732702000606.44,1094.12,863.01
1732702000637.02,1121.04,843.02
1732702000666.59,1144.92,824.43
1732702000696.8,1164.72,809.97
1732702000727.92,1179.18,798.53
1732702000758.08,1198.35,788.83
1732702000787.63,1242.58,772.97
1732702000818.43,1284.54,754.58
1732702000848.92,1318.68,740.94
1732702000879.06,1344.13,733.71
1732702000909.32,1359.2,728.99
1732702000938.58,1372.15,724.78
1732702000969.12,1381.02,722.83
1732702000999.66,1384.02,723.57
1732702001030.23,1363.6,741.22
1732702001060.02,1309.51,793.92
1732702001090.57,1222.7,886.47
1732702001120.14,1149.58,961.23
1732702001150.42,1109.36,1000.69
1732702001181.08,1081.96,1027.39
1732702001211.17,1062.07,1040.64
1732702001241.33,1054.57,1043.97
1732702001271.29,1050.9,1047.69
1732702001301.3,1049.23,1050.3
1732702001331.41,1048.85,1049.95
1732702001366.68,1049.24,1050.47
1732702001392.07,1046.4,1052.1
1732702001422.79,1043.35,1053.02
1732702001452.77,1046.06,1037.47
1732702001482.99,1086.5,872.4
1732702001512.3,1158.37,597.41
1732702001543.91,1196.68,432.7
1732702001573.38,1214.18,361.87
1732702001604.17,1221.58,330.04
1732702001633.93,1221.57,295.47
1732702001663.66,1217.36,242.79
1732702001694.45,1216.45,213.53
1732702001724.19,1216.64,197.75
1732702001754.71,1216.08,191.92
1732702001785.2,1213.98,189.41
1732702001815.03,1213.56,187.91
1732702001845.41,1212.42,187.8
1732702001884.29,1213.06,188.14
1732702001906.03,1214.15,189.9
1732702001935.73,1216.3,193.21
1732702001966.6,1220.83,195.6
1732702001996.3,1223.81,197.54
1732702002027.25,1226.19,198.44
1732702002057.51,1229.05,199.69
1732702002086.95,1231.59,201.03
1732702002118.13,1233.23,202.35
1732702002147.78,1234.66,204.53
1732702002178.27,1241.21,207.51
1732702002207.83,1270.28,213.58
1732702002238.59,1305.95,219.6
1732702002268.46,1339.46,222.72
1732702002298.88,1368.59,224.76
1732702002328.68,1390.39,228.06
