time,x,y
1735804915879.33,1304.8,622.06
1735804915902.79,1304.86,621.26
1735804915933.25,1304.69,620.49
1735804915962.87,1306.19,627.99
1735804916172.24,1249.91,746.25
1735804916202.79,1236.96,845.26
1735804916234.11,1253.04,746.03
1735804916265.65,1257.8,740.34
1735804916295.83,1266.57,725.86
1735804916326.02,1275.99,706.11
1735804916355.4,1284.87,679.84
1735804916385.64,1291.52,660.35
1735804916415.58,1295.87,644.04
1735804916445.67,1298.14,632.95
1735804916477.09,1300.62,626.42
1735804916507.22,1302.07,621.3
1735804916536.76,1302.82,618.98
1735804916567.9,1301.55,618.44
1735804916597.84,1302.3,613.9
1735804916628.02,1304.27,610.35
1735804916657.87,1305.6,609.83
1735804916688.68,1306.45,607.62
1735804916718.18,1306.08,606.9
1735804916748.88,1305.58,607.45
1735804916778.61,1304.41,606.67
1735804916809.41,1304.84,605.75
1735804916839.35,1305.27,606.32
1735804916868.72,1305.48,607.62
1735804916900.55,1305.58,607.98
1735804916929.48,1305.68,607.78
1735804916960.0,1305.87,607.91
1735804916991.61,1306.06,607.67
1735804917020.89,1306.2,607.14
1735804917051.49,1306.52,607.08
1735804917080.75,1305.64,606.68
1735804917111.51,1305.46,607.5
1735804917142.0,1305.49,608.8
1735804917171.07,1305.75,609.66
1735804917202.12,1305.91,610.44
1735804917232.48,1305.93,611.41
1735804917262.48,1306.17,612.35
1735804917292.77,1306.16,613.54
1735804917322.05,1306.21,614.68
1735804917352.62,1306.6,614.72
1735804917383.11,1306.77,614.99
1735804917413.28,1307.02,615.26
1735804917443.57,1307.51,615.67
1735804917473.62,1307.94,616.6
1735804917503.36,1308.2,617.26
1735804917534.64,1308.41,618.5
1735804917564.62,1309.09,619.37
1735804917594.38,1309.75,620.19
1735804917623.93,1310.05,621.02
1735804917655.35,1310.31,622.15
1735804917685.44,1310.57,623.15
1735804917715.24,1310.69,624.02
1735804917746.19,1311.07,625.3
1735804917775.45,1311.44,626.3
1735804917805.67,1311.45,627.21
1735804917836.03,1311.22,627.56
1735804917866.9,1310.65,627.88
1735804917896.77,1310.48,628.14
1735804917926.86,1310.49,628.3
1735804917956.86,1310.45,628.51
1735804917986.99,1310.65,629.01
1735804918017.0,1311.32,629.44
1735804918047.97,1311.61,629.59
1735804918077.75,1311.78,629.95
1735804918108.34,1311.93,630.09
1735804918138.01,1312.27,629.73
1735804918168.28,1312.21,629.46
1735804918198.6,1311.74,629.27
1735804918228.69,1311.37,629.25
1735804918259.66,1311.02,629.1
1735804918290.06,1310.59,628.97
1735804918319.37,1310.16,628.72
1735804918349.62,1309.75,628.27
1735804918379.51,1309.3,627.76
1735804918409.64,1308.83,627.47
1735804918440.16,1308.32,626.61
1735804918470.48,1308.12,625.67
1735804918500.55,1307.91,625.02
1735804918530.78,1303.74,626.55
1735804918561.31,1220.9,699.19
1735804918590.86,1070.83,844.27
1735804918622.02,967.21,962.24
1735804918651.87,906.81,1022.56
1735804918681.31,877.0,1046.96
1735804918712.3,860.38,1069.61
1735804918741.92,851.08,1082.98
1735804918773.08,848.92,1087.81
1735804918802.8,847.82,1088.62
1735804918833.92,846.63,1089.6
1735804918862.87,845.48,1087.18
1735804918893.71,844.25,1086.8
1735804918924.05,842.32,1086.81
1735804918953.92,842.11,1086.34
1735804918983.54,841.61,1087.0
1735804919013.38,839.73,1088.47
1735804919044.0,838.95,1089.96
1735804919074.74,837.73,1091.15
1735804919104.86,836.89,1091.92
1735804919134.94,836.22,1091.65
1735804919165.45,835.98,1091.7
1735804919196.18,836.33,1091.81
1735804919225.17,836.71,1091.59
1735804919254.81,837.01,1091.21
1735804919285.53,836.95,1090.94
1735804919317.05,837.0,1090.54
1735804919347.13,837.06,1090.24
1735804919377.09,837.06,1089.94
1735804919406.79,837.43,1089.7
1735804919437.38,837.76,1089.78
1735804919467.0,837.96,1089.71
1735804919498.03,838.31,1089.29
1735804919527.95,838.72,1088.73
1735804919557.77,839.26,1088.38
1735804919588.17,840.13,1088.02
1735804919618.47,841.01,1087.59
1735804919647.85,841.12,1087.45
1735804919679.18,840.97,1087.55
1735804919709.42,841.66,1088.13
1735804919739.28,842.52,1088.17
1735804919769.61,843.08,1087.57
1735804919799.05,843.75,1087.03
1735804919829.96,844.18,1086.99
1735804919860.46,844.33,1086.44
1735804919890.19,844.74,1085.75
1735804919920.61,844.69,1085.65
1735804919950.5,845.33,1084.88
1735804919980.61,845.72,1084.36
1735804920011.28,845.89,1083.42
1735804920040.98,845.18,1081.74
1735804920071.89,845.33,1083.31
1735804920101.74,837.04,1088.81
1735804920337.9,939.89,1196.29
1735804920375.92,839.28,1170.3
1735804920407.08,850.66,1171.73
1735804920437.81,859.97,1165.6
1735804920464.37,861.07,1160.63
1735804920494.13,862.47,1150.85
1735804920525.09,864.8,1134.9
1735804920555.16,866.84,1119.63
1735804920585.2,868.02,1107.4
1735804920615.78,867.52,1097.41
1735804920645.76,865.16,1089.78
1735804920674.88,862.38,1084.08
1735804920705.32,860.8,1081.38
1735804920735.43,859.19,1078.86
1735804920766.74,858.56,1077.13
1735804920796.93,856.02,1077.08
1735804920827.05,854.62,1075.59
1735804920857.07,853.52,1074.77
1735804920887.32,851.93,1074.07
1735804920917.65,851.42,1073.29
1735804920947.78,852.15,1071.94
1735804920977.69,852.78,1070.46
1735804921008.26,850.03,1069.45
1735804921037.71,847.93,1068.06
1735804921068.64,846.71,1067.46
1735804921098.64,844.12,1067.32
1735804921127.87,842.1,1067.27
1735804921158.69,841.01,1068.31
1735804921189.14,840.29,1069.04
1735804921218.92,840.37,1069.99
1735804921249.39,840.67,1070.77
1735804921279.93,840.83,1071.47
1735804921310.41,840.84,1072.02
1735804921340.06,840.0,1072.2
1735804921370.43,839.48,1072.4
1735804921399.99,839.37,1072.23
1735804921430.98,838.92,1072.54
1735804921461.28,838.49,1072.68
1735804921491.66,838.72,1073.02
1735804921521.41,839.1,1073.68
1735804921551.83,838.69,1073.9
1735804921581.64,838.65,1075.11
1735804921612.55,838.61,1076.58
1735804921641.98,838.41,1077.64
1735804921672.67,838.59,1078.39
1735804921702.62,838.2,1078.85
1735804921733.31,838.33,1080.21
1735804921763.25,838.52,1081.59
1735804921793.28,838.15,1082.94
1735804921823.93,837.82,1084.56
1735804921854.15,837.87,1085.49
1735804921884.14,838.47,1086.73
1735804921914.14,838.58,1088.23
1735804921944.55,837.99,1089.18
1735804921975.13,837.86,1091.02
1735804922005.51,837.45,1092.98
1735804922034.93,838.45,1095.86
1735804922065.14,838.52,1100.04
1735804922095.64,838.96,1103.86
1735804922125.91,838.59,1106.97
1735804922155.88,837.96,1108.92
1735804922185.79,836.72,1111.6
1735804922216.07,836.01,1113.9
1735804922246.45,836.01,1116.42
1735804922276.99,837.05,1119.84
1735804922306.88,832.36,1123.12
1735804922337.61,832.79,1126.06
1735804922366.72,828.63,1128.18
1735804922397.82,829.11,1130.32
1735804922427.77,830.07,1131.38
1735804922458.25,830.35,1130.64
1735804922487.81,830.21,1130.82
1735804922517.96,830.52,1131.98
1735804922549.11,830.81,1132.03
1735804922580.88,831.33,1132.33
1735804922608.25,831.8,1132.12
1735804922639.29,832.5,1132.27
1735804922668.84,832.67,1132.09
1735804922699.61,833.15,1132.62
1735804922729.69,833.35,1132.19
1735804922760.11,833.55,1132.51
1735804922790.19,834.12,1132.4
1735804922820.26,835.16,1133.04
1735804922850.53,835.94,1133.01
1735804922880.42,835.9,1132.7
1735804922911.35,835.05,1132.45
1735804922941.86,834.95,1132.86
1735804922971.79,835.52,1132.86
1735804923001.7,835.7,1132.45
1735804923032.36,836.29,1133.38
1735804923062.51,836.19,1132.99
1735804923092.82,836.76,1132.57
1735804923122.08,837.26,1132.75
1735804923152.76,837.47,1132.96
1735804923182.55,837.86,1132.97
1735804923213.47,837.66,1133.3
1735804923243.1,837.37,1133.73
1735804923273.58,837.36,1132.86
1735804923303.91,837.61,1132.3
1735804923333.94,838.11,1131.96
1735804923363.9,840.18,1133.0
1735804923394.68,840.4,1132.49
1735804923424.73,840.21,1131.03
1735804923454.72,839.95,1128.88
1735804923484.41,839.19,1128.72
1735804923514.77,838.6,1129.25
1735804923545.77,837.21,1127.15
1735804923575.32,836.52,1126.89
1735804923605.65,836.58,1127.57
1735804923635.84,836.4,1127.43
1735804923666.54,836.62,1127.14
1735804923696.77,837.01,1127.06
1735804923726.19,836.32,1125.34
1735804923757.05,835.44,1124.78
1735804923786.76,834.9,1125.17
1735804923817.65,833.68,1124.36
1735804923847.77,833.09,1124.62
1735804923877.97,832.81,1125.02
1735804923907.62,832.1,1125.42
1735804923937.6,831.21,1124.45
1735804923968.58,830.12,1122.34
1735804923998.86,829.5,1121.33
1735804924029.29,829.49,1121.44
1735804924058.73,829.6,1121.81
1735804924089.22,829.49,1120.82
1735804924118.65,829.46,1120.13
1735804924149.27,829.5,1120.48
1735804924179.32,829.51,1120.54
1735804924210.36,829.66,1120.36
1735804924240.25,829.2,1120.36
1735804924270.65,829.0,1120.69
1735804924300.63,828.82,1121.11
1735804924330.94,829.44,1121.56
1735804924360.5,829.21,1121.4
1735804924391.17,829.19,1121.75
1735804924427.07,878.37,1116.96
1735804924457.0,1115.56,1096.8
1735804924481.52,1419.48,1081.99
1735804924512.51,1600.91,1078.01
1735804924541.71,1692.79,1063.16
1735804924572.84,1726.58,1068.37
1735804924602.77,1741.91,1063.84
1735804924632.85,1774.73,1062.33
1735804924662.8,1783.41,1061.5
1735804924693.07,1797.82,1062.7
1735804924722.98,1799.6,1065.58
